zero_index,t_value,rank,prime_p,prime_q,impact_score,phase_cos,pair_str
71,184.8744678483875,1,2,31,-0.019672615600263323,-0.609851083608163,"(2, 31)"
71,184.8744678483875,2,2,53,-0.016847657138648924,-0.8929258283483931,"(2, 53)"
71,184.8744678483875,3,2,61,-0.01516070715871816,-0.9248031366818078,"(2, 61)"
71,184.8744678483875,4,2,59,-0.014788878983842273,-0.8725438600466942,"(2, 59)"
71,184.8744678483875,5,2,29,-0.014030296965140516,-0.40687861198907493,"(2, 29)"
72,185.59878367770747,1,2,11,-0.05638988156880577,-0.6202886972568634,"(2, 11)"
72,185.59878367770747,2,2,19,-0.05263086830092029,-0.9999864977174856,"(2, 19)"
72,185.59878367770747,3,3,11,-0.04404232652246628,-0.7266983876206936,"(3, 11)"
72,185.59878367770747,4,3,19,-0.034695872091910614,-0.9888323546194525,"(3, 19)"
72,185.59878367770747,5,3,13,-0.020093473078231013,-0.39182272502550475,"(3, 13)"
73,187.22892258350186,1,2,7,-0.06909136149632535,-0.4836395304742775,"(2, 7)"
73,187.22892258350186,2,2,5,-0.06657048618821311,-0.33285243094106554,"(2, 5)"
73,187.22892258350186,3,5,11,-0.03634403845333037,-0.9994610574665851,"(5, 11)"
73,187.22892258350186,4,5,13,-0.03031835241821067,-0.9853464535918467,"(5, 13)"
73,187.22892258350186,5,7,11,-0.025464939220143708,-0.9804001599755326,"(7, 11)"
74,189.41615865601693,1,2,5,-0.14320923070738642,-0.716046153536932,"(2, 5)"
74,189.41615865601693,2,3,5,-0.10767846016015215,-0.8075884512011411,"(3, 5)"
74,189.41615865601693,3,3,7,-0.09177039339867579,-0.9635891306860959,"(3, 7)"
74,189.41615865601693,4,2,11,-0.07084774029105899,-0.7793251432016488,"(2, 11)"
74,189.41615865601693,5,2,13,-0.06925204912087467,-0.9002766385713706,"(2, 13)"
75,192.0266563607138,1,2,3,-0.25925223206633563,-0.7777566961990069,"(2, 3)"
75,192.0266563607138,2,3,5,-0.10174113149305557,-0.7630584861979167,"(3, 5)"
75,192.0266563607138,3,2,17,-0.04858606291681283,-0.8259630695858182,"(2, 17)"
75,192.0266563607138,4,2,7,-0.0328527454379558,-0.22996921806569062,"(2, 7)"
75,192.0266563607138,5,3,19,-0.029875623958695755,-0.8514552828228291,"(3, 19)"
76,193.0797266038457,1,2,3,-0.32274495656682944,-0.9682348697004883,"(2, 3)"
76,193.0797266038457,2,2,7,-0.142829975008681,-0.9998098250607671,"(2, 7)"
76,193.0797266038457,3,2,13,-0.07633342532529519,-0.9923345292288375,"(2, 13)"
76,193.0797266038457,4,2,11,-0.06864883033560058,-0.7551371336916064,"(2, 11)"
76,193.0797266038457,5,3,5,-0.043217948318139326,-0.32413461238604496,"(3, 5)"
77,195.26539667952923,1,2,3,-0.2686557220557793,-0.805967166167338,"(2, 3)"
77,195.26539667952923,2,2,5,-0.1977269954609749,-0.9886349773048745,"(2, 5)"
77,195.26539667952923,3,2,17,-0.05875279500263019,-0.9987975150447133,"(2, 17)"
77,195.26539667952923,4,5,7,-0.05504109282510183,-0.963219124439282,"(5, 7)"
77,195.26539667952923,5,3,7,-0.0468532422229833,-0.4919590433413247,"(3, 7)"
78,196.87648184095832,1,2,3,-0.09342119020854106,-0.2802635706256232,"(2, 3)"
78,196.87648184095832,2,3,7,-0.09073869729386914,-0.9527563215856261,"(3, 7)"
78,196.87648184095832,3,2,11,-0.07863813556214835,-0.8650194911836319,"(2, 11)"
78,196.87648184095832,4,5,7,-0.05507224985285273,-0.9637643724249229,"(5, 7)"
78,196.87648184095832,5,2,19,-0.05083758339281929,-0.9659140844635665,"(2, 19)"
79,198.01530967625192,1,2,7,-0.14183710356539145,-0.9928597249577402,"(2, 7)"
79,198.01530967625192,2,2,17,-0.055274461207020086,-0.9396658405193414,"(2, 17)"
79,198.01530967625192,3,5,7,-0.04537931545243101,-0.7941380204175428,"(5, 7)"
79,198.01530967625192,4,3,7,-0.02789526549672437,-0.2929002877156059,"(3, 7)"
79,198.01530967625192,5,2,31,-0.023220232615218713,-0.7198272110717802,"(2, 31)"
80,201.2647519437038,1,2,5,-0.11845132542761785,-0.5922566271380892,"(2, 5)"
80,201.2647519437038,2,3,5,-0.0868536424708572,-0.6514023185314289,"(3, 5)"
80,201.2647519437038,3,2,11,-0.07113765507039974,-0.782514205774397,"(2, 11)"
80,201.2647519437038,4,2,17,-0.05580598904562932,-0.9487018137756985,"(2, 17)"
80,201.2647519437038,5,3,11,-0.04444061605174287,-0.7332701648537573,"(3, 11)"
81,202.49359451414054,1,2,5,-0.1964371168163897,-0.9821855840819484,"(2, 5)"
81,202.49359451414054,2,3,5,-0.1297106551115869,-0.9728299133369017,"(3, 5)"
81,202.49359451414054,3,2,7,-0.10029243253037862,-0.7020470277126504,"(2, 7)"
81,202.49359451414054,4,2,19,-0.04959697272745991,-0.9423424818217383,"(2, 19)"
81,202.49359451414054,5,3,19,-0.03497141194209786,-0.996685240349789,"(3, 19)"
82,204.18967180310455,1,3,5,-0.10751987274080244,-0.8063990455560183,"(3, 5)"
82,204.18967180310455,2,3,7,-0.09290345856465336,-0.9754863149288604,"(3, 7)"
82,204.18967180310455,3,2,11,-0.07373290347961621,-0.8110619382757782,"(2, 11)"
82,204.18967180310455,4,2,17,-0.05623042281792548,-0.9559171879047331,"(2, 17)"
82,204.18967180310455,5,2,7,-0.03375515003270939,-0.23628605022896573,"(2, 7)"
83,205.3946972021633,1,3,11,-0.05973711579530082,-0.9856624106224635,"(3, 11)"
83,205.3946972021633,2,2,19,-0.043754873355515755,-0.8313425937547994,"(2, 19)"
83,205.3946972021633,3,3,5,-0.042255906018213885,-0.31691929513660416,"(3, 5)"
83,205.3946972021633,4,3,7,-0.030672397203800373,-0.32206017063990394,"(3, 7)"
83,205.3946972021633,5,2,29,-0.029877357265117463,-0.8664433606884064,"(2, 29)"
84,207.90625888780622,1,2,3,-0.28856354747423707,-0.8656906424227112,"(2, 3)"
84,207.90625888780622,2,2,7,-0.13668900235127068,-0.9568230164588949,"(2, 7)"
84,207.90625888780622,3,2,5,-0.08450376062089289,-0.42251880310446444,"(2, 5)"
84,207.90625888780622,4,2,11,-0.0764297361553014,-0.8407270977083153,"(2, 11)"
84,207.90625888780622,5,2,19,-0.05259021298991318,-0.9992140468083506,"(2, 19)"
85,209.57650971685626,1,2,3,-0.32944144350556764,-0.988324330516703,"(2, 3)"
85,209.57650971685626,2,2,5,-0.18453293397468218,-0.9226646698734108,"(2, 5)"
85,209.57650971685626,3,2,13,-0.0704457356516907,-0.9157945634719791,"(2, 13)"
85,209.57650971685626,4,2,17,-0.04343328348595682,-0.738365819261266,"(2, 17)"
85,209.57650971685626,5,2,23,-0.042420477536445324,-0.9756709833382425,"(2, 23)"
86,211.6908625953653,1,2,3,-0.17721440095070307,-0.5316432028521092,"(2, 3)"
86,211.6908625953653,2,3,7,-0.09113967989939246,-0.956966638943621,"(3, 7)"
86,211.6908625953653,3,2,11,-0.0836062213456489,-0.9196684348021379,"(2, 11)"
86,211.6908625953653,4,3,13,-0.042106142094001174,-0.8210697708330229,"(3, 13)"
86,211.6908625953653,5,3,17,-0.03660216909212152,-0.9333553118490989,"(3, 17)"
87,213.34791935971268,1,2,7,-0.1387965498389008,-0.9715758488723057,"(2, 7)"
87,213.34791935971268,2,3,5,-0.07513565040397367,-0.5635173780298025,"(3, 5)"
87,213.34791935971268,3,2,13,-0.07191500890737654,-0.934895115795895,"(2, 13)"
87,213.34791935971268,4,5,7,-0.05092138808715191,-0.8911242915251584,"(5, 7)"
87,213.34791935971268,5,2,19,-0.04934515049099413,-0.9375578593288886,"(2, 19)"
88,214.54704478349143,1,3,5,-0.12480432215358703,-0.9360324161519027,"(3, 5)"
88,214.54704478349143,2,5,7,-0.0570127009570362,-0.9977222667481335,"(5, 7)"
88,214.54704478349143,3,2,5,-0.04713786933452752,-0.2356893466726376,"(2, 5)"
88,214.54704478349143,4,3,11,-0.04025235198465289,-0.6641638077467727,"(3, 11)"
88,214.54704478349143,5,2,23,-0.034674487547969236,-0.7975132136032925,"(2, 23)"
89,216.1695385082637,1,2,5,-0.19763898614229566,-0.9881949307114782,"(2, 5)"
89,216.1695385082637,2,3,5,-0.118924254282948,-0.89193190712211,"(3, 5)"
89,216.1695385082637,3,2,13,-0.061752940847789164,-0.8027882310212591,"(2, 13)"
89,216.1695385082637,4,2,11,-0.05300828468565271,-0.5830911315421798,"(2, 11)"
89,216.1695385082637,5,5,7,-0.05072712979021807,-0.8877247713288162,"(5, 7)"
90,219.0675963490214,1,3,7,-0.09199934854680715,-0.9659931597414751,"(3, 7)"
90,219.0675963490214,2,2,11,-0.08392769780629683,-0.9232046758692651,"(2, 11)"
90,219.0675963490214,3,2,7,-0.062084529747495024,-0.4345917082324652,"(2, 7)"
90,219.0675963490214,4,2,19,-0.05257838458245142,-0.9989893070665771,"(2, 19)"
90,219.0675963490214,5,2,17,-0.0441522254463267,-0.7505878325875539,"(2, 17)"
91,220.714918839314,1,3,13,-0.0511945545952519,-0.9982938146074121,"(3, 13)"
